Index,Method,Time,Latency,Packet_Loss,Throughput,Energy_Consumption
9,Normal,3,441.8891290580894,1,122.88863935155119,1.2288863935155119
0,Normal,4,300.0000015624868,0.0,148.0793645262873,1.480793645262873
0,Normal,4,454.186085713441,0.0,148.0793645262873,1.480793645262873
1,Normal,4,300.00000160832803,0.0,144.96175114740066,1.4496175114740066
1,Normal,4,457.36022945751057,0.0,144.96175114740066,1.4496175114740066
2,Normal,4,300.0000014349962,0.0,157.2670039210416,1.572670039210416
2,Normal,4,430.5108650066721,0.0,157.2670039210416,1.572670039210416
3,Normal,4,300.0000014350741,0.0,157.26114015416582,1.5726114015416581
3,Normal,4,467.77667109340337,0.0,157.26114015416582,1.5726114015416581
4,Normal,4,300.0000008847237,0.0,209.63366548740734,2.0963366548740736
4,Normal,4,434.42545149144047,0.0,209.63366548740734,2.0963366548740736
